,job_no,roles,companies,locations,experience,salaries,skills
27,28,sr data scientist - advanced machine learning,target,['bengaluru'],3-4,not disclosed,"['supply chain', 'product engineering', 'data analysis', 'analytical', 'machine learning', 'data structures', 'troubleshooting', 'sql']"
28,29,data scientist,johnson and johnson kenvue,['bengaluru'],4-6,not disclosed,"['supply chain', 'computer science', 'data analysis', 'operations research', 'data science', 'coding', 'machine learning', 'data mining']"
29,30,data scientist,pradeepit consulting services,['bengaluru'],3-7,not disclosed,"['analytical skills', 'data analysis', 'french', 'spanish', 'natural language processing', 'manager quality control', 'data mining', 'object oriented programming']"
30,31,data scientist 1,xoom,['bengaluru'],4-7,not disclosed,"['computer science', 'automation', 'operational risk', 'machine learning', 'wellness', 'risk management', 'ifrs', 'stakeholder management']"
31,32,data scientist,straive,"['hybrid - hyderabad', ' chennai', ' bengaluru']",4-6,not disclosed,"['marketing mix', 'data analytics', 'machine learning', 'python', 'sql', 'analytics', 'machine', 'marketing']"
32,33,data scientist - phd only,nds infoserv,['mumbai'],0-2,12-15,"['natural language processing', 'phd', 'deep learning', 'data science', 'processing', 'process', 'data', 'science']"
33,34,data scientist,privaini software india,['bengaluru'],5-8,not disclosed,"['data science libraries', 'machine learning', 'pytorch', 'aws sagemaker', 'natural language processing nlp', 'data science tools', 'svm', 'sql']"
34,35,data scientist,calsoft,"['pune(pune mumbai highway)', ' bengaluru']",5-7,not disclosed,"['natural language processing', 'machine learning', 'predictive modeling', 'artificial intelligence', 'neural networks', 'deep learning', 'data science', 'pattern recognition']"
35,36,lead data scientist - machine learning/artificial intelligence,tetrahed inc,['bengaluru'],7-10,not disclosed,"['data science', 'java', 'azure', 'strategy development', 'power bi', 'artificial intelligence', 'tableau', 'machine learning']"
36,37,group audit - data scientist,deutsche bank,['mumbai'],2-7,not disclosed,"['sql', 'python', 'confluence', 'data analytics', 'data analysis', 'natural language processing', 'scikit-learn', 'openshift']"
37,38,data scientist: artificial intelligence,ibm,['hyderabad'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
38,39,data scientist: artificial intelligence,ibm,['hyderabad'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
39,40,data scientist: artificial intelligence,ibm,['gurugram'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
40,41,data scientist,ibm,['bengaluru'],5-9,not disclosed,"['data engineering', 'python', 'erp', 'data analysis', 'forecasting', 'dbms', 'cognos', 'business acumen']"
41,42,data scientist,ibm,['bengaluru'],5-10,not disclosed,"['python', 'business acumen', 'sql', 'financial accounting', 'etl', 'erp', 'data analysis', 'forecasting']"
42,43,data scientist,lodha group,['mumbai (all areas)'],5-10,not disclosed,"['analytics', 'problem solving', 'data mining', 'machine learning', 'machine', 'data']"
43,44,sd1 data scientist,siemens,['pune'],6-11,not disclosed,"['deep learning', 'data analysis', 'consulting', 'machine learning', 'turbine', 'siemens', 'individual contributor', 'forecasting']"
44,45,data scientist,ford,['chennai'],3-8,not disclosed,"['text mining', 'operations research', 'nosql', 'neural networks', 'machine learning', 'natural language processing', 'data mining', 'analytics']"
45,46,data scientist,ford,['chennai'],6-7,not disclosed,"['logistic regression', 'sas', 'gcp', 'analytical', 'programming', 'deployment', 'analytics', 'sql']"
46,47,data scientist,ericsson,['noida'],8-12,not disclosed,"['computer science', 'computer vision', 'orchestration', 'gcp', 'analytical', 'machine learning', 'programming', 'data processing']"
47,48,data scientist i,honeywell,['bengaluru'],3-6,not disclosed,"['computer science', 'sql queries', 'tableau', 'kpi', 'analytical', 'power bi', 'data analytics', 'analyst ii']"
48,49,data scientist,johnson and johnson kenvue,['bengaluru'],3-5,not disclosed,"['supply chain', 'computer science', 'data analysis', 'demand planning', 'analytical', 'agile', 'data quality', 'fmcg']"
49,50,data scientist - blr/ hyd/ ggn,genpact,"['hybrid - hyderabad', ' gurugram', ' bengaluru']",6-11,not disclosed,"['data science', 'predictive modeling', 'decision tree', 'text analytics', 'natural language processing', 'neural networks', 'text mining', 'llm']"
50,51,data scientist,hexaware technologies,['hybrid - bengaluru'],9-14,16-30,"['data science', 'natural language processing', 'machine learning', 'deep learning', 'science', 'machine', 'process', 'data']"
51,52,data scientist - aep,adobe systems india pvt. ltd.,['bengaluru'],5-9,not disclosed,"['data analysis', 'data science', 'image processing', 'web analytics', 'data modeling', 'machine learning', 'adobe', 'digital marketing']"
52,53,data scientist with gen ai - per role- blr,ibm,"['hyderabad', ' gurugram', ' bengaluru']",7-12,25-40,"['gen ai', 'llm', 'data science', 'nlp', 'data', 'pert', 'gen', 'natural language processing']"
53,54,data scientist- gen ai,tech mahindra,"['hyderabad', ' bengaluru']",5-10,not disclosed,"['gen ai', 'python', 'nlp', 'machine learning', 'deep learning', 'artificial intelligence', 'machine', 'gen']"
54,55,opportunity | data scientist | tavant india,tavant technologies,"['hybrid - noida', ' hyderabad/secunderabad', ' bangalore/bengaluru']",10-17,not disclosed,"['elastic search', 'python', 'nlp', 'open search', 'machine learning', 'open', 'natural language processing', 'searching']"
55,56,data scientist,poppulo,['bengaluru'],5-7,not disclosed,"['computer science', 'vista', 'consulting', 'machine learning', 'data visualization', 'open source', 'analytics', 'private equity']"
56,57,data scientist,sdi business services,['hybrid - bengaluru'],5-9,not disclosed,"['data scientist', 'powerbi', 'machine learning', 'qliksense', 'python', 'sql', 'machine', 'qlikview']"
57,58,data scientist,cimpress,['remote'],1-5,not disclosed,"['algorithms', 'python', 'development', 'cnn', 'natural language processing', 'mathematics', 'neural networks', 'dl']"
58,59,data scientist,gojek,['bengaluru'],1-2,not disclosed,"['operations research', 'prototype', 'version control', 'machine learning', 'data processing', 'sql', 'python', 'technical documentation']"
59,60,data scientist,grid dynamics,['hyderabad'],3-8,not disclosed,"['python', 'algorithms', 'technology consulting', 'pyspark', 'software engineering', 'machine learning', 'artificial intelligence', 'consulting']"
60,61,data scientist i b - gbs,bank of america,['hyderabad'],5-8,not disclosed,"['data analysis', 'software design', 'consulting', 'oracle', 'risk management', 'jira', 'software implementation', 'sql']"
61,62,data scientist,global pharma tek,['bengaluru'],3-5,not disclosed,"['data science', 'tensorflow', 'deep learning', 'pytorch', 'scikit-learn', 'opencv', 'pandas', 'natural language processing']"
62,63,data scientist azure,leading client,['bengaluru'],6-11,not disclosed,"['azure', 'data science', 'cnn', 'r', 'nlp', 'data scientist', 'llm', 'machine learning']"
63,64,quantitative analyst / data scientist,bestex research,['bengaluru'],0-3,not disclosed,"['computer science', 'c++', 'data management', 'simulation', 'data collection', 'market data', 'analytics', 'sql']"
64,65,data scientist,ltimindtree,"['hybrid - hyderabad', ' bangalore rural', ' chennai']",5-10,not disclosed,"['data science', 'pytorch', 'python', 'tensorflow', 'pandas', 'keras', 'scikit-learn', 'numpy']"
65,66,data scientist,innova solutions,['hybrid - hyderabad'],6-10,not disclosed,"['r', 'gcp', 'machine learning', 'aws', 'python', 'azure', 'data', 'machine']"
66,67,data scientist,euler motors,"['faridabad', ' gurugram', ' delhi / ncr']",2-4,not disclosed,"['python', 'devops', 'numpy', 'sql', 'data science', 'r', 'nosql', 'docker']"
67,68,sas data scientist,lericon informatics pvt. ltd.,['maharashtra'],2-6,not disclosed,"['sas', 'visualization', 'power bi', 'data mining', 'data management', 'predictive analytics', 'data analysis', 'statistical modelling']"
68,69,expert data scientist,ciklum,['chennai'],3-8,not disclosed,"['computer science', 'data analysis', 'operations research', 'ms sql', 'resourcing', 'medical insurance', 'business solutions', 'econometrics']"
69,70,data scientist - sagemaker,winning edge,['bengaluru'],5-9,not disclosed,"['sagemaker', 'gensim', 'java', 'spacy', 'nlp', 'pytorch', 'corenlp', 'elasticsearch']"
70,71,data scientist,roblox,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-6,not disclosed,"['san', 'prototype', 'people development', 'data management', 'analytical', 'genetics', 'operations', 'analytics']"
71,72,data scientist,lingaro sp z oo,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-7,not disclosed,"['supply chain', 'data analysis', 'coding', 'agile', 'data processing', 'fmcg', 'data mining', 'monitoring']"
72,73,data scientist,transorg,"['bangalore rural', ' gurgaon/ gurugram', ' mumbai (all areas)']",2-5,not disclosed,"['natural language processing', 'machine learning', 'python', 'sql', 'logistic regression', 'predictive modeling', 'statistical modeling', 'deep learning']"
73,74,data scientist - nlp/artificial intelligence,ezeiatech,['gurugram'],1-2,not disclosed,"['nlp', 'tensorflow', 'data scientist', 'artificial intelligence', 'machine learning', 'deep learning', 'python', 'machine']"
74,75,data scientist - i,netomi,['gurugram'],3-6,not disclosed,"['logistic regression', 'lms', 'neural networks', 'artificial intelligence', 'machine learning', 'information retrieval', 'customer service', 'operations']"
75,76,"data scientist, actimize",incontact,['pune'],2-7,not disclosed,"['power house', 'web services', 'data science', 'finance', 'machine learning', 'cloud', 'flex', 'data analyst']"
76,77,data scientist,birdeye australia,['gurugram'],1-2,not disclosed,"['computer science', 'gcp', 'analytical', 'social media', 'machine learning', 'silicon', 'customer experience', 'salesforce']"
77,78,data scientist,inapp,"['kochi', ' thiruvananthapuram']",4-9,not disclosed,"['training', 'deep learning', 'usage', 'data science', 'architecture', 'gcp', 'production operations', 'cloud']"
78,79,opening for data scientist,aspire systems,['hybrid - chennai'],6-8,not disclosed,"['opencv', 'keras', 'databricks', 'pyspark pytorch tensorflow', 'flask', 'dashplotly', 'neo4j', 'd3js']"
79,80,data scientist- gen ai bot,innover digital,['remote'],4-5,not disclosed,"['computer science', 'data analysis', 'git', 'data science', 'machine learning', 'cloud', 'model development', 'open source']"
80,81,data scientist,velocitai digital,['gurugram'],2-6,not disclosed,"['django', 'python', 'natural language processing', 'machine learning', 'machine', 'process', 'languages', 'processing']"
81,82,data scientist,llp s3bglobal technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",6-10,not disclosed,['data scientist']
82,83,data scientist- llm/nlp,simetrik,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-3,not disclosed,"['computer science', 'training', 'continuous integration', 'data analysis', 'cassandra', 'machine learning', 'natural language processing', 'data privacy']"
83,84,data scientist,xoom,['bengaluru'],5-7,not disclosed,"['unix', 'data science', 'analytical', 'wellness', 'customer support', 'customer experience', 'operations', 'financial services']"
84,85,data scientist,xoom,"['chennai', ' bengaluru']",3-5,not disclosed,"['analytical', 'wellness', 'application development', 'risk management', 'business intelligence', 'data mining', 'financial services', 'analytics']"
85,86,data scientist,xoom,"['chennai', ' bengaluru']",4-7,not disclosed,"['computer science', 'deep learning', 'data science', 'diversity and inclusion', 'machine learning', 'wellness', 'analytics', 'monitoring']"
86,87,data scientist,xoom,"['chennai', ' bengaluru']",5-7,not disclosed,"['automation', 'coding', 'analytical', 'finance', 'diversity and inclusion', 'wellness', 'risk management', 'business intelligence']"
87,88,data scientist,ingersoll rand,['bengaluru'],8-10,8-14,"['sql database development', 'mlop', 'preventive maintenance', 'sql', 'python', 'vertex', 'ai algorithms', 'statistics.']"
88,89,data scientist - iot,cavotec india,['pune(viman nagar)'],5-10,not disclosed,"['cloud computing', 'data analytics', 'machine learning', 'python', 'nosql', 'aws', 'cloud', 'computation']"
89,90,data scientist,quantiphi analytics solutions,"['mumbai', ' bengaluru', ' thiruvananthapuram']",3-8,not disclosed,"['version control', 'machine learning', 'software development life cycle', 'open source', 'forecasting', 'aws', 'object oriented programming', 'monitoring']"
90,91,data scientist,kaleidofin,"['hybrid - chennai', ' bengaluru']",1-4,not disclosed,"['python', 'machine learning', 'deep learning', 'machine', 'data']"
91,92,data scientist (ai/ml),oneorigin,['bengaluru'],6-8,15-25,"['artificial intelligence', 'llm', 'machine learning', 'pytorch', 'nlp', 'azure', 'pincodb', 'hadoop']"
92,93,data scientist - computer vision (immediate joiners),valiance solutions,['bengaluru'],1-6,not disclosed,"['computer vision algorithms', 'object detection', 'c++', 'face detection', 'scaling model', 'model deployment', 'ml algorithms', 'deep learning']"
93,94,data scientist,idexcel technologies,"['hyderabad', ' bengaluru']",2-7,not disclosed,"['ocr', 'nlp', 'image processing', 'artificial intelligence', 'time series', 'computer vision', 'aws', 'machine learning']"
94,95,data scientist,soul ai,['remote'],0,not disclosed,"['data science', 'business intelligence', 'data engineering', 'natural language processing', 'debugging', 'data cleansing', 'machine learning', 'deep learning']"
95,96,data scientist,hiring right,['mohali(phase 8b mohali)'],3-6,7-15,"['data science', 'pytorch', 'tensorflow', 'keras', 'data modeling', 'data analytics', 'python', 'modeling']"
96,97,data scientist - mumbai,life insurance company,['mumbai (all areas)'],3-6,not disclosed,"['data scientist', 'data science', 'artificial intelligence', 'data analysis', 'statistical modeling', 'machine learning', 'deep learning', 'machine']"
97,98,data scientist,it consulting,['pune'],5-10,not disclosed,"['data scientist', 'python', 'nlp', 'llm', 'machine learning', 'machine', 'natural language processing', 'data']"
98,99,data scientist,ciel hr,['hybrid - hyderabad'],5-10,not disclosed,"['data science', 'python', 'sql', 'ai', 'ml extract', 'science', 'artificial intelligence', 'ml']"
99,100,data scientist,service based company,['bengaluru'],8-13,8.5-18,"['data science', 'tensorflow', 'artificial intelligence', 'machine learning', 'natural language processing', 'deep learning', 'science', 'intelligence']"
100,101,data scientist,xebia,['bengaluru'],3-6,not disclosed,"['java', 'rest apis', 'http', 'autosys', 'spring boot', 'scipy', 'linux shell', 'pyspark']"
101,102,data scientist,indian mnc,['remote'],7-12,15-30,"['data science', 'sql', 'aws', 'azure', 'data', 'science', 'microsoft azure']"
102,103,data scientist,software,['bengaluru'],9-12,not disclosed,"['data science', 'machine learning', 'python', 'machine', 'data', 'science']"
103,104,renewable energy forecasting expert; data scientist,"jade business services, a us data and analytics.",['remote'],7-12,not disclosed,"['renewable energy expert', 'data science', 'machine learning', 'science', 'renewable energy', 'forecasting', 'machine', 'energy']"
104,105,data scientist,williams lea,"['kochi', ' chennai']",5-9,not disclosed,"['data science', 'python', 'tableau', 'powerbi', 'machine learning', 'sql', 'r', 'techflow']"
105,106,data scientist,ibm,['pune'],10-15,not disclosed,"['time series analysis', 'python', 'natural language processing', 'forecasting', 'pytorch', 'rest', 'kubernetes', 'github']"
106,107,"data scientist, actimize",nice,['hybrid - pune'],2-4,not disclosed,"['python', 'data analysis', 'natural language processing', 'scikit-learn', 'neural networks', 'linear regression', 'machine learning', 'nice']"
107,108,data scientist(5),ericsson,['noida'],3-7,not disclosed,"['data management', 'artificial intelligence', 'machine learning', 'cloud', 'programming', 'business intelligence', 'open source', 'business understanding']"
108,109,data scientist(5),ericsson,['noida'],3-8,not disclosed,"['computer vision', 'orchestration', 'gcp', 'analytical', 'machine learning', 'programming', 'data processing', 'sql']"
109,110,data scientist,orange business services,['gurugram'],3-5,not disclosed,"['automation', 'front end', 'machine learning', 'javascript', 'data processing', 'html', 'application development', 'customer support']"
110,111,"data scientist - python, javascript - l&t technology services",larsen & toubro (l&t),['chennai'],3-6,not disclosed,"['sas', 'data scientist', 'javascript', 'react', 'python', 'mysql', 'data mining', 'statistical analyses']"
111,112,data scientist,tata consultancy services,['mumbai (all areas)'],6-10,not disclosed,"['tensorflow', 'keras', 'ml', 'python', 'sql', 'sklearn', 'data', 'scikit-learn']"
112,113,data scientist,ford,['chennai'],6-7,not disclosed,"['logistic regression', 'sas', 'gcp', 'analytical', 'programming', 'deployment', 'analytics', 'sql']"
113,114,data scientist,data collection infotech,['bengaluru'],0-4,not disclosed,"['logistic regression', 'data analysis', 'client servicing', 'trend analysis', 'data mining', 'individual contributor', 'sql', 'python']"
114,115,data scientist,akaike technologies,['bengaluru'],0-6,not disclosed,"['deep learning', 'data analysis', 'git', 'analytical', 'mysql', 'machine learning', 'data visualization', 'data mining']"
115,116,data scientist,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",0-5,not disclosed,"['deep learning', 'tdd', 'deployment', 'natural language processing', 'test driven development', 'mongodb', 'sql', 'python']"
116,117,product data scientist,sundial,['bengaluru'],0-7,not disclosed,"['economics', 'analytical', 'programming', 'statistics', 'data', 'program', 'analytics']"
117,118,data scientist,citriot,['bengaluru'],0-2,not disclosed,"['computer vision', 'c++', 'image processing', 'memory management', 'neural networks', 'mysql', 'machine learning', 'stored procedures']"
118,119,data scientist/data analyst,enflexis solutions,['remote'],2-6,9-12,"['data analytics', 'python', 'data science', 'data analysis', 'data', 'science', 'analytics']"
119,120,data scientist - media mix modelling,blend360 india,['hyderabad'],4-6,not disclosed,"['marketing analytics', 'machine learning', 'python', 'sql', 'pricing analytics', 'customer analytics', 'product analysis', 'machine']"
120,121,data scientist (banking/nbfc),muthoot microfin,"['kochi/cochin', ' ernakulam']",8-12,25-35,"['sql query', 'data science', 'data wrangling and visualization', 'python', 'predictive analytics', 'hypothesis testing', 'data mining', 'data extraction']"
121,122,data scientist,maxima consulting,['pune'],5-10,15-25,"['cloud', 'python', 'sql', 'gcp', 'ai', 'aws', 'azure', 'artificial intelligence']"
122,123,data scientist,tcg living spaces,"['mumbai suburban', ' navi mumbai', ' mumbai (all areas)']",5-10,30-45,"['sas', 'artificial intelligence', 'aiml', 'etl', 'machine learning', 'data mining', 'data processing', 'data analytics']"
123,124,graduate data scientist,worleyparsons,"['mumbai', ' navi mumbai']",5-10,not disclosed,"['computer science', 'data analysis', 'automation', 'architecture', 'analytical', 'machine learning', 'data quality', 'information technology']"
124,125,data scientist,cotiviti,['hybrid - hyderabad'],4-9,not disclosed,"['ai ml', 'nlp', 'artificial intelligence', 'pyhton', 'machine learning algorithms', 'machine learning', 'python', 'aiml']"
125,126,data scientist,worleyparsons,"['mumbai', ' navi mumbai']",5-10,not disclosed,"['data analysis', 'architecture', 'data science', 'consulting', 'machine learning', 'data structures', 'data quality', 'information technology']"
126,127,data scientist i,worleyparsons,"['mumbai', ' navi mumbai']",4-7,not disclosed,"['training', 'data analysis', 'architecture', 'data science', 'machine learning', 'data structures', 'data quality', 'information technology']"
127,128,data scientist,dun bradstreet information services india private limited,['chennai'],5-10,not disclosed,"['operations research', 'technical writing', 'risk analytics', 'analytical', 'html', 'business solutions', 'financial services', 'monitoring']"
128,129,data scientist,edelweiss financial services,['mumbai (all areas)'],2-5,not disclosed,"['predictive modeling', 'machine learning', 'python', 'modeling', 'predictive', 'machine', 'data']"
129,130,data scientist,wolters kluwer - medknow publications,"['kalyani', ' pune']",4-7,not disclosed,"['data analysis', 'coding', 'process improvement', 'analytical', 'machine learning', 'investigation', 'management', 'analytics']"
130,131,ml engineer / data scientist,collective s,['hyderabad'],1-3,4.5-6.5,"['pandas', 'regression', 'jupiter', 'machine learning', 'python', 'machine learning algorithms', 'numpy', 'software design']"
131,132,data scientist,icube human capital solutions (india) llp,['mumbai (all areas)(kalina)'],3-8,not disclosed,"['machine learning', 'aws', 'data science', 'artificial intelligence', 'scala', 'big data', 'spark', 'deep learning']"
132,133,data scientist required for a reputed organisation in hyderabad,masadir hr services,['hyderabad'],8-13,8-18,"['azure', 'data science', 'data scientist', 'ml modelling', 'machine learning', 'sql', 'machine', 'ml']"
133,134,data scientist,williams lea,"['kochi', ' chennai']",5-7,not disclosed,"['computer science', 'data analysis', 'data science', 'analytical', 'machine learning', 'data processing', 'data quality', 'financial services']"
134,135,data scientist maruti suzuki,maruti suzuki,['gurugram'],3-7,not disclosed,"['deep learning', 'data science', 'natural language processing', 'pandas', 'data visualization', 'machine learning', 'numpy', 'machine']"
135,136,data scientist,global pharma tek,['pune'],5-9,not disclosed,"['data science', 'python', 'r', 'data mining', 'social network analysis', 'machine learning', 'artificial intelligence', 'statistics']"
136,137,data scientist,leading client,['bengaluru'],10-15,not disclosed,"['data science', 'tensorflow', 'pytorch', 'java', 'c++', 'artificial intelligence', 'java script', 'go']"
137,138,ai business - sales data scientist,leading client,['bengaluru'],3-7,not disclosed,"['python', 'technical support', 'data analysis', 'machine learning', 'artificial intelligence', 'sql', 'communication skills', 'machine']"
138,139,data scientist,genius consultants,['mumbai (all areas)'],15-20,13-20,"['visualization', 'data breach', 'datamining', 'tableau', 'python', 'data governance', 'data visualization', 'data']"
139,140,data scientist,tech mahindra,"['hybrid - hyderabad', ' chennai', ' bengaluru']",5-10,not disclosed,"['data science', 'gen ai', 'azure', 'generative ai', 'mlops', 'natural language processing', 'machine laerning', 'llm']"
140,134,"data scientist - chennai, bangalore, hyderabad / 3+ relevant",2coms,['bengaluru'],6-11,not disclosed,"['hive', 'data', 'methods', 'office', 'tools', 'sql', 'docker', 'data science']"
141,135,data scientist,visa,['bengaluru'],3-7,not disclosed,"['computer science', 'operations research', 'business analytics', 'analytical', 'predictive modeling', 'business solutions', 'financial services', 'product marketing']"
142,136,generative ai data scientist,genpact,"['hyderabad', ' gurugram', ' bengaluru']",8-13,not disclosed,"['generative ai', 'llm', 'predictive modeling', 'natural language processing', 'computer vision', 'machine learning', 'modeling', 'predictive']"
143,137,data scientist,ibm,['bengaluru'],6-10,not disclosed,"['software development', 'artificial intelligence', 'sql', 'tensorflow', 'machine learning algorithms', 'continuous integration', 'algorithms', 'python']"
144,138,"distinguished, data scientist",walmart,['bengaluru'],10-14,not disclosed,"['c++', 'data management', 'coding', 'sez', 'data structures', 'data visualization', 'business strategy', 'information technology']"
145,139,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['algorithms', 'natural language processing', 'machine learning', 'sql', 'data science', 'hive', 'data analysis', 'pyspark']"
146,140,data scientist,siemens,['bengaluru'],2-3,not disclosed,"['backend', 'git', 'coding', 'machine learning', 'healthcare', 'data quality', 'monitoring', 'sql']"
147,141,data scientist,anz,['bengaluru'],2-7,not disclosed,"['usage', 'data science', 'data management', 'analytical', 'relationship building', 'machine learning', 'continuous improvement', 'forecasting']"
148,142,data scientist,anz,['bengaluru'],7-9,not disclosed,"['data management', 'data science', 'analytical', 'banking', 'manager technology', 'data quality', 'data analytics', 'financial services']"
149,143,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['project development', 'matrix', 'production support', 'compliance', 'kpi', 'mentor', 'software quality', 'technical documentation']"
150,144,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['time series analysis', 'bayesian', 'python', 'data analysis', 'natural language processing', 'probabilistic', 'linear regression', 'market mix modelling']"
